device,precision,recall,f1-score,support
1,0.9975062344139651,1.0,0.9987515605493134,400
2,1.0,1.0,1.0,400
3,0.9779951100244498,1.0,0.9888751545117428,400
4,0.9950248756218906,1.0,0.9975062344139651,400
5,1.0,0.9975,0.9987484355444306,400
6,0.9974093264248705,0.9625,0.9796437659033079,400
7,1.0,0.9975,0.9987484355444306,400
8,1.0,1.0,1.0,400
9,1.0,1.0,1.0,400
10,1.0,1.0,1.0,400
11,0.9975062344139651,1.0,0.9987515605493134,400
12,1.0,1.0,1.0,400
13,0.9975062344139651,1.0,0.9987515605493134,400
14,1.0,1.0,1.0,400
15,0.9522673031026253,0.9975,0.9743589743589745,400
16,0.9947780678851175,0.9525,0.9731800766283525,400
17,1.0,1.0,1.0,400
18,0.9975062344139651,1.0,0.9987515605493134,400
19,1.0,1.0,1.0,400
20,0.9975062344139651,1.0,0.9987515605493134,400
21,1.0,1.0,1.0,400
22,0.9874686716791979,0.985,0.986232790988736,400
23,1.0,0.99,0.9949748743718593,400
24,0.9975062344139651,1.0,0.9987515605493134,400
25,1.0,1.0,1.0,400
26,1.0,0.9825,0.991172761664565,400
27,0.9950124688279302,0.9975,0.9962546816479401,400
28,0.9950124688279302,0.9975,0.9962546816479401,400
29,0.9828009828009828,1.0,0.9913258983890954,400
30,1.0,1.0,1.0,400
