device,precision,recall,f1-score,support
1,0.9375,0.9375,0.9375,400
2,0.9251207729468599,0.9575,0.941031941031941,400
3,0.7775551102204409,0.97,0.8631813125695217,400
4,0.992462311557789,0.9875,0.9899749373433584,400
5,0.9773299748110831,0.97,0.973651191969887,400
6,0.8846153846153846,0.805,0.8429319371727748,400
7,0.9683698296836983,0.995,0.9815043156596794,400
8,0.9615384615384616,0.9375,0.9493670886075949,400
9,0.9974811083123426,0.99,0.9937264742785445,400
10,0.9847715736040609,0.97,0.9773299748110831,400
11,0.9712793733681462,0.93,0.950191570881226,400
12,0.9506849315068493,0.8675,0.9071895424836601,400
13,0.8193832599118943,0.93,0.8711943793911007,400
14,0.9056603773584906,0.96,0.9320388349514563,400
15,0.8025,0.8025,0.8025,400
16,0.8635097493036211,0.775,0.8168642951251647,400
17,1.0,1.0,1.0,400
18,0.8753462603878116,0.79,0.8304862023653088,400
19,0.9634146341463414,0.9875,0.9753086419753086,400
20,0.9161849710982659,0.7925,0.8498659517426274,400
21,0.9925,0.9925,0.9925,400
22,0.9553349875930521,0.9625,0.958904109589041,400
23,0.9600997506234414,0.9625,0.961298377028714,400
24,1.0,0.97,0.9847715736040609,400
25,0.9798994974874372,0.975,0.9774436090225564,400
26,0.9103448275862069,0.99,0.9485029940119761,400
27,0.9689119170984456,0.935,0.9516539440203563,400
28,0.9635922330097088,0.9925,0.977832512315271,400
29,0.9395465994962217,0.9325,0.9360100376411543,400
30,0.9589371980676329,0.9925,0.9754299754299756,400
