device,precision,recall,f1-score,support
1,0.9451371571072319,0.9475,0.9463171036204744,400
2,0.9646017699115044,0.8175,0.8849797023004059,400
3,0.7969432314410481,0.9125,0.8508158508158509,400
4,0.9949622166246851,0.9875,0.9912170639899623,400
5,0.9872448979591837,0.9675,0.9772727272727273,400
6,0.849009900990099,0.8575,0.8532338308457712,400
7,1.0,0.9925,0.9962358845671266,400
8,0.9809782608695652,0.9025,0.9401041666666665,400
9,0.9925,0.9925,0.9925,400
10,0.9824120603015075,0.9775,0.9799498746867169,400
11,0.9397590361445783,0.975,0.9570552147239264,400
12,0.9,0.9225,0.9111111111111112,400
13,0.7818574514038877,0.905,0.8389339513325608,400
14,0.7349624060150376,0.9775,0.8390557939914164,400
15,0.8155339805825242,0.84,0.8275862068965517,400
16,0.8791208791208791,0.8,0.837696335078534,400
17,0.9975062344139651,1.0,0.9987515605493134,400
18,0.8525469168900804,0.795,0.8227684346701164,400
19,0.992462311557789,0.9875,0.9899749373433584,400
20,0.9260700389105059,0.595,0.7245053272450532,400
21,0.9875,0.9875,0.9875,400
22,0.9347826086956522,0.9675,0.950859950859951,400
23,0.994750656167979,0.9475,0.9705505761843789,400
24,0.9950248756218906,1.0,0.9975062344139651,400
25,0.9874686716791979,0.985,0.986232790988736,400
26,0.9103448275862069,0.99,0.9485029940119761,400
27,0.9328537170263789,0.9725,0.9522643818849449,400
28,0.992462311557789,0.9875,0.9899749373433584,400
29,0.975,0.8775,0.9236842105263157,400
30,0.9614457831325302,0.9975,0.9791411042944784,400
